n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
450,1,0.688,0.818,0.889,0.889,0.852,0.777,0.872,0.8,0.721,0.818,0.812,0.818
450,5,0.8,0.889,0.889,0.777,0.8,0.889,0.777,0.889,0.951,0.8,0.846,0.882
450,10,0.8,0.889,0.8,0.8,0.8,0.8,0.8,0.8,0.889,0.8,0.818,0.873
450,15,0.852,0.8,0.889,0.777,0.8,0.889,0.889,0.889,0.777,0.8,0.836,0.873
450,20,0.8,0.8,0.8,0.8,0.8,0.8,0.889,0.8,0.8,0.889,0.818,0.873
450,25,0.889,0.8,0.777,0.8,0.8,0.8,0.889,0.8,0.8,0.8,0.816,0.868
450,30,0.777,0.8,0.8,0.753,0.753,0.889,0.8,0.8,0.889,0.8,0.806,0.85
450,35,0.889,0.889,0.889,0.777,0.889,0.889,0.889,0.8,0.951,0.8,0.866,0.895
450,40,0.8,0.889,0.753,0.889,0.889,0.777,0.889,0.8,0.8,0.777,0.826,0.864
450,45,0.8,0.852,0.777,0.8,0.8,0.8,0.8,0.777,0.889,0.889,0.819,0.864
450,50,0.777,0.889,0.8,0.889,0.889,0.8,0.8,0.889,0.889,0.889,0.851,0.886
500,1,0.889,0.836,0.909,0.753,0.7,0.818,0.951,0.777,0.852,0.777,0.826,0.836
500,5,0.889,0.852,0.777,0.777,0.852,0.8,0.8,0.8,0.852,0.8,0.82,0.859
500,10,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.889,0.889,0.8,0.818,0.873
500,15,0.852,0.889,0.8,0.889,0.889,0.8,0.889,0.777,0.889,0.8,0.847,0.882
500,20,0.889,0.889,0.8,0.8,0.8,0.8,0.8,0.8,0.889,0.889,0.836,0.882
500,25,0.8,0.8,0.8,0.889,0.852,0.8,0.889,0.889,0.852,0.889,0.846,0.882
500,30,0.852,0.8,0.8,0.8,0.889,0.8,0.8,0.889,0.8,0.8,0.823,0.873
500,35,0.8,0.777,0.777,0.951,0.8,0.8,0.8,0.889,0.777,0.8,0.817,0.864
500,40,0.8,0.889,0.8,0.889,0.8,0.8,0.8,0.889,0.8,0.889,0.836,0.882
500,45,0.8,0.889,0.889,0.8,0.8,0.753,0.8,0.8,0.777,0.8,0.811,0.859
500,50,0.8,0.889,0.889,0.8,0.889,0.909,0.889,0.889,0.8,0.777,0.853,0.886
